frame_idx,time_sec,f0_hz,conf,rms,voiced
0,0.000000,,0.500000,0.000000,0
1,0.011610,,0.500000,0.000000,0
2,0.023220,,0.500000,0.000000,0
3,0.034830,,0.500000,0.000000,0
4,0.046440,,0.500000,0.000000,0
5,0.058050,,0.500000,0.000000,0
6,0.069660,,0.500000,0.000000,0
7,0.081270,,0.985858,0.000003,0
8,0.092880,,0.764618,0.000392,0
9,0.104490,,0.386423,0.003430,0
10,0.116100,,1.881180,0.006448,0
11,0.127710,107.666016,3.674881,0.010846,1
12,0.139320,107.666016,4.641321,0.013578,1
13,0.150930,86.132812,3.251173,0.018079,1
14,0.162540,107.666016,6.925388,0.023894,1
15,0.174150,107.666016,7.181917,0.026503,1
16,0.185760,107.666016,6.403980,0.032789,1
17,0.197370,107.666016,7.873052,0.037760,1
18,0.208980,107.666016,8.207069,0.040734,1
19,0.220590,107.666016,8.437534,0.044775,1
20,0.232200,107.666016,10.033262,0.048180,1
21,0.243810,107.666016,8.828525,0.047217,1
22,0.255420,107.666016,8.534858,0.044933,1
23,0.267029,,2.626086,0.048840,0
24,0.278639,,2.139395,0.047133,0
25,0.290249,,2.232545,0.054648,0
26,0.301859,,1.463382,0.064048,0
27,0.313469,107.666016,8.873333,0.063068,1
28,0.325079,129.199219,9.658802,0.061904,1
29,0.336689,129.199219,5.446483,0.057712,1
30,0.348299,86.132812,3.337247,0.046249,1
31,0.359909,107.666016,6.791871,0.041277,1
32,0.371519,107.666016,7.820698,0.042097,1
33,0.383129,,2.827896,0.035225,0
34,0.394739,107.666016,4.293395,0.035074,1
35,0.406349,,1.733461,0.035770,0
36,0.417959,107.666016,4.248289,0.030966,1
37,0.429569,107.666016,6.021136,0.031950,1
38,0.441179,107.666016,6.288953,0.031869,1
39,0.452789,107.666016,6.427675,0.029483,1
40,0.464399,107.666016,7.375209,0.033556,1
41,0.476009,107.666016,7.229249,0.032821,1
42,0.487619,129.199219,4.073649,0.035853,1
43,0.499229,129.199219,3.727084,0.037683,1
44,0.510839,107.666016,7.853681,0.039671,1
45,0.522449,279.931641,12.373307,0.044935,1
46,0.534059,279.931641,13.276880,0.048149,1
47,0.545669,107.666016,7.343898,0.055182,1
48,0.557279,107.666016,7.934511,0.060584,1
49,0.568889,107.666016,7.408363,0.068733,1
50,0.580499,559.863281,29.716425,0.076160,1
51,0.592109,,2.650206,0.079214,0
52,0.603719,107.666016,5.061242,0.081550,1
53,0.615329,538.330078,33.921399,0.081430,1
54,0.626939,559.863281,32.563444,0.080787,1
55,0.638549,559.863281,43.686912,0.080252,1
56,0.650159,559.863281,22.474855,0.080997,1
57,0.661769,107.666016,8.707601,0.079868,1
58,0.673379,107.666016,9.574900,0.078035,1
59,0.684989,107.666016,8.935407,0.076205,1
60,0.696599,107.666016,10.071421,0.069767,1
61,0.708209,107.666016,8.938267,0.065429,1
62,0.719819,107.666016,6.985421,0.058653,1
63,0.731429,129.199219,3.831381,0.050972,1
64,0.743039,258.398438,7.340360,0.051305,1
65,0.754649,,2.539819,0.047258,0
66,0.766259,107.666016,5.076509,0.046296,1
67,0.777868,236.865234,13.121287,0.044980,1
68,0.789478,107.666016,5.616053,0.040990,1
69,0.801088,107.666016,4.646176,0.039983,1
70,0.812698,107.666016,4.408360,0.038583,1
71,0.824308,,2.505614,0.040785,0
72,0.835918,,2.520422,0.039214,0
73,0.847528,,2.586124,0.039701,0
74,0.859138,495.263672,3.874100,0.039264,1
75,0.870748,495.263672,4.955244,0.037359,1
76,0.882358,495.263672,4.320152,0.036341,1
77,0.893968,236.865234,5.756193,0.033646,1
78,0.905578,236.865234,5.313835,0.032439,1
79,0.917188,236.865234,4.166287,0.032437,1
80,0.928798,236.865234,6.259991,0.033978,1
81,0.940408,236.865234,8.617921,0.036766,1
82,0.952018,236.865234,10.778917,0.040087,1
83,0.963628,495.263672,3.632139,0.044533,1
84,0.975238,,0.703848,0.048814,0
85,0.986848,,2.126922,0.053897,0
86,0.998458,,1.171981,0.056675,0
87,1.010068,,2.505973,0.060385,0
88,1.021678,495.263672,3.916614,0.065467,1
89,1.033288,236.865234,24.080861,0.067752,1
90,1.044898,236.865234,19.494744,0.070887,1
91,1.056508,236.865234,15.273727,0.071334,1
92,1.068118,236.865234,14.998853,0.070280,1
93,1.079728,86.132812,3.980888,0.072058,1
94,1.091338,86.132812,6.108436,0.068085,1
95,1.102948,86.132812,4.071482,0.069682,1
96,1.114558,129.199219,5.199390,0.070472,1
97,1.126168,129.199219,7.449984,0.066838,1
98,1.137778,236.865234,17.420373,0.069854,1
99,1.149388,236.865234,17.096408,0.064903,1
100,1.160998,129.199219,9.817791,0.059775,1
101,1.172608,129.199219,8.442989,0.061134,1
102,1.184218,129.199219,5.935700,0.062658,1
103,1.195828,129.199219,8.115531,0.072786,1
104,1.207438,258.398438,38.005839,0.079003,1
105,1.219048,258.398438,40.427528,0.084375,1
106,1.230658,258.398438,34.893877,0.087483,1
107,1.242268,129.199219,11.968828,0.093121,1
108,1.253878,129.199219,12.675016,0.099377,1
109,1.265488,129.199219,13.702576,0.102275,1
110,1.277098,129.199219,12.568758,0.102500,1
111,1.288707,129.199219,13.619107,0.097823,1
112,1.300317,129.199219,10.415828,0.094523,1
113,1.311927,129.199219,5.766517,0.100746,1
114,1.323537,,2.996665,0.115173,0
115,1.335147,86.132812,5.435873,0.123291,1
116,1.346757,86.132812,8.201540,0.130416,1
117,1.358367,86.132812,3.879585,0.124376,1
118,1.369977,473.730469,3.621138,0.111250,1
119,1.381587,107.666016,3.996642,0.097439,1
120,1.393197,215.332031,3.864849,0.081826,1
121,1.404807,107.666016,3.542730,0.078989,1
122,1.416417,107.666016,3.834276,0.074577,1
123,1.428027,,2.551492,0.077748,0
124,1.439637,107.666016,3.312430,0.077533,1
125,1.451247,215.332031,6.806692,0.070873,1
126,1.462857,215.332031,7.352073,0.070819,1
127,1.474467,215.332031,6.380887,0.066775,1
128,1.486077,,0.823815,0.063517,0
129,1.497687,,0.439352,0.062255,0
130,1.509297,,0.494237,0.057689,0
131,1.520907,,1.795392,0.052972,0
132,1.532517,,1.000000,0.054989,0
133,1.544127,,2.423927,0.054303,0
134,1.555737,86.132812,7.114151,0.055886,1
135,1.567347,86.132812,3.624283,0.054618,1
136,1.578957,,1.202501,0.052581,0
137,1.590567,,1.830982,0.054249,0
138,1.602177,,1.446067,0.055661,0
139,1.613787,,1.532462,0.066205,0
140,1.625397,,1.273763,0.073043,0
141,1.637007,,1.580223,0.074655,0
142,1.648617,,1.138812,0.077230,0
143,1.660227,495.263672,4.187900,0.074125,1
144,1.671837,495.263672,3.716358,0.072508,1
145,1.683447,,2.371534,0.075515,0
146,1.695057,86.132812,3.685605,0.077478,1
147,1.706667,495.263672,3.816970,0.079769,1
148,1.718277,495.263672,3.948569,0.080683,1
149,1.729887,495.263672,3.321872,0.079377,1
150,1.741497,,1.304281,0.078180,0
151,1.753107,236.865234,5.312382,0.075296,1
152,1.764717,,2.928550,0.071825,0
153,1.776327,236.865234,3.845584,0.073676,1
154,1.787937,236.865234,5.545720,0.074944,1
155,1.799546,,0.513503,0.073596,0
156,1.811156,,2.043587,0.074861,0
157,1.822766,,1.830778,0.073926,0
158,1.834376,172.265625,3.968830,0.075007,1
159,1.845986,,1.000000,0.077161,0
160,1.857596,107.666016,4.164653,0.075581,1
161,1.869206,107.666016,6.056816,0.076641,1
162,1.880816,107.666016,3.849664,0.070849,1
163,1.892426,,1.662384,0.066491,0
164,1.904036,,0.664748,0.065861,0
165,1.915646,172.265625,5.663512,0.061353,1
166,1.927256,172.265625,7.326730,0.062187,1
167,1.938866,172.265625,7.686649,0.061855,1
168,1.950476,172.265625,7.959121,0.057989,1
169,1.962086,172.265625,6.963601,0.054428,1
170,1.973696,172.265625,4.692670,0.049569,1
171,1.985306,172.265625,6.133313,0.047991,1
172,1.996916,,1.980830,0.049352,0
173,2.008526,279.931641,4.693571,0.050372,1
174,2.020136,,2.001428,0.054918,0
175,2.031746,,2.285984,0.063676,0
176,2.043356,,1.354550,0.068277,0
177,2.054966,,1.563740,0.073145,0
178,2.066576,86.132812,3.735313,0.077795,1
179,2.078186,,2.796802,0.078880,0
180,2.089796,,2.029781,0.081585,0
181,2.101406,,1.344434,0.083638,0
182,2.113016,,2.992965,0.089785,0
183,2.124626,,2.465704,0.092763,0
184,2.136236,,1.630009,0.094140,0
185,2.147846,,2.166054,0.095476,0
186,2.159456,,2.915360,0.091872,0
187,2.171066,,2.897473,0.088179,0
188,2.182676,172.265625,14.079770,0.086333,1
189,2.194286,172.265625,11.901076,0.080941,1
190,2.205896,,1.920878,0.072464,0
191,2.217506,172.265625,4.692261,0.066860,1
192,2.229116,172.265625,3.761310,0.058883,1
193,2.240726,172.265625,4.989335,0.059186,1
194,2.252336,172.265625,9.850566,0.065503,1
195,2.263946,172.265625,14.009166,0.077604,1
196,2.275556,,1.871221,0.090535,0
197,2.287166,279.931641,5.959127,0.099621,1
198,2.298776,86.132812,3.157423,0.107185,1
199,2.310385,172.265625,26.690673,0.108357,1
200,2.321995,279.931641,4.424889,0.108418,1
201,2.333605,172.265625,17.706278,0.106954,1
202,2.345215,172.265625,17.230472,0.105236,1
203,2.356825,,2.108972,0.118075,0
204,2.368435,,1.236959,0.119892,0
205,2.380045,,0.917889,0.118447,0
206,2.391655,129.199219,13.804390,0.116088,1
207,2.403265,129.199219,14.972566,0.096643,1
208,2.414875,107.666016,7.471386,0.086111,1
209,2.426485,,1.800088,0.078372,0
210,2.438095,,1.269287,0.066974,0
211,2.449705,279.931641,3.239204,0.061277,1
212,2.461315,,0.768888,0.053882,0
213,2.472925,,0.844011,0.049854,0
214,2.484535,,1.000000,0.048884,0
215,2.496145,,1.226371,0.047223,0
216,2.507755,,1.203114,0.049471,0
217,2.519365,,1.397203,0.050145,0
218,2.530975,,1.338545,0.048337,0
219,2.542585,,2.646390,0.044899,0
220,2.554195,,2.927955,0.038438,0
221,2.565805,,2.202684,0.034420,0
222,2.577415,732.128906,4.221519,0.032796,1
223,2.589025,732.128906,5.009826,0.032589,1
224,2.600635,86.132812,3.804512,0.035321,1
225,2.612245,732.128906,6.215572,0.035868,1
226,2.623855,732.128906,6.121682,0.038012,1
227,2.635465,366.064453,4.254436,0.039278,1
228,2.647075,366.064453,5.520306,0.040304,1
229,2.658685,366.064453,6.167408,0.045091,1
230,2.670295,86.132812,3.093936,0.045863,1
231,2.681905,,2.425324,0.046374,0
232,2.693515,366.064453,8.699481,0.045908,1
233,2.705125,,0.820259,0.043417,0
234,2.716735,,0.942697,0.043581,0
235,2.728345,,0.575232,0.041353,0
236,2.739955,,0.442254,0.042228,0
237,2.751565,129.199219,7.850999,0.042108,1
238,2.763175,172.265625,9.451067,0.044503,1
239,2.774785,,0.749627,0.044460,0
240,2.786395,,0.620588,0.045895,0
241,2.798005,193.798828,4.092732,0.045953,1
242,2.809615,,0.330819,0.044195,0
243,2.821224,,0.348727,0.046263,0
244,2.832834,,0.860552,0.044792,0
245,2.844444,,0.617555,0.045724,0
246,2.856054,,0.853912,0.045030,0
247,2.867664,,0.382243,0.047197,0
248,2.879274,,0.578292,0.047345,0
249,2.890884,366.064453,6.158596,0.050046,1
250,2.902494,366.064453,3.277739,0.055839,1
251,2.914104,,2.350810,0.061549,0
252,2.925714,86.132812,3.326170,0.063398,1
253,2.937324,,1.805933,0.059142,0
254,2.948934,,1.215097,0.053412,0
255,2.960544,,1.360849,0.043681,0
256,2.972154,,1.485845,0.043272,0
257,2.983764,215.332031,4.816798,0.045142,1
258,2.995374,,0.398439,0.047979,0
259,3.006984,,0.307399,0.047758,0
260,3.018594,,1.344840,0.043769,0
261,3.030204,,2.454291,0.042204,0
262,3.041814,,2.342168,0.038804,0
263,3.053424,,1.789720,0.039510,0
264,3.065034,193.798828,8.921447,0.042563,1
265,3.076644,,2.392952,0.043664,0
266,3.088254,193.798828,8.951546,0.045260,1
267,3.099864,,2.112137,0.047834,0
268,3.111474,,2.825401,0.050597,0
269,3.123084,,2.733167,0.050329,0
270,3.134694,,2.782178,0.048682,0
271,3.146304,193.798828,3.839335,0.050159,1
272,3.157914,,2.700895,0.052462,0
273,3.169524,,0.985668,0.057686,0
274,3.181134,,2.422317,0.058517,0
275,3.192744,107.666016,3.529749,0.056388,1
276,3.204354,,2.188844,0.049248,0
277,3.215964,,1.788282,0.046650,0
278,3.227574,193.798828,5.601117,0.046769,1
279,3.239184,193.798828,6.010650,0.044278,1
280,3.250794,193.798828,5.102259,0.047003,1
281,3.262404,,2.440718,0.043619,0
282,3.274014,,1.722182,0.042609,0
283,3.285624,193.798828,5.399215,0.043520,1
284,3.297234,193.798828,5.727688,0.043668,1
